Accuracy,Precision,Recall,F1 Score,AUC,Hamming Loss,Jaccard Score,Log Loss,MCC
0.985,0.9829059829059829,0.9913793103448276,0.9871244635193133,0.9989737274220033,0.015,0.9745762711864406,0.07721225563569957,0.9692123940380459
0.985,0.9829059829059829,0.9913793103448276,0.9871244635193133,0.9983579638752053,0.015,0.9745762711864406,0.06292083037864021,0.9692123940380459
0.99,0.9913793103448276,0.9913793103448276,0.9913793103448276,0.993431855500821,0.01,0.9829059829059829,0.20279813998150403,0.9794745484400657
0.98,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9986658456486043,0.02,0.9661016949152542,0.05407836236366393,0.9589490968801314
0.95,0.9649122807017544,0.9482758620689655,0.9565217391304348,0.9927134646962235,0.05,0.9166666666666666,0.11352506241179569,0.8978965970656536
0.99,0.9913793103448276,0.9913793103448276,0.9913793103448276,0.9990763546798029,0.01,0.9829059829059829,0.03947291523218155,0.9794745484400657
