Accuracy,Precision,Recall,F1 Score,AUC,Hamming Loss,Jaccard Score,Log Loss,MCC
0.995,1.0,0.9913793103448276,0.9956709956709957,0.9994355500821018,0.005,0.9913793103448276,0.05875062890457265,0.9898060539018594
0.985,0.9829059829059829,0.9913793103448276,0.9871244635193133,0.9983579638752053,0.015,0.9745762711864406,0.06496963056643343,0.9692123940380459
0.975,0.9663865546218487,0.9913793103448276,0.9787234042553191,0.9929700328407225,0.025,0.9583333333333334,0.2202161890933966,0.9488866462419827
0.98,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9986658456486043,0.02,0.9661016949152542,0.054186096880134406,0.9589490968801314
0.95,0.9649122807017544,0.9482758620689655,0.9565217391304348,0.9927134646962235,0.05,0.9166666666666666,0.11352506241179569,0.8978965970656536
0.99,0.9913793103448276,0.9913793103448276,0.9913793103448276,0.9992816091954023,0.01,0.9829059829059829,0.038298800587654114,0.9794745484400657
