Accuracy,Precision,Recall,F1 Score,AUC,Hamming Loss,Jaccard Score,Log Loss,MCC
0.98,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9986658456486043,0.02,0.9661016949152542,0.05407836236366393,0.9589490968801314
0.99,0.9913793103448276,0.9913793103448276,0.9913793103448276,0.993431855500821,0.01,0.9829059829059829,0.20279813998150403,0.9794745484400657
0.995,1.0,0.9913793103448276,0.9956709956709957,0.9994355500821018,0.005,0.9913793103448276,0.05875062890457265,0.9898060539018594
0.96,0.9736842105263158,0.9568965517241379,0.9652173913043478,0.9920977011494254,0.04,0.9327731092436975,0.12058028390984382,0.9183591448565754
0.985,0.9829059829059829,0.9913793103448276,0.9871244635193133,0.9983579638752053,0.015,0.9745762711864406,0.06292083037864021,0.9692123940380459
0.99,0.9913793103448276,0.9913793103448276,0.9913793103448276,0.9990763546798029,0.01,0.9829059829059829,0.03947291523218155,0.9794745484400657
0.985,0.9829059829059829,0.9913793103448276,0.9871244635193133,0.9997947454844006,0.015,0.9745762711864406,0.036366343955560376,0.9692123940380459
