Accuracy,Precision,Recall,F1 Score,AUC,Hamming Loss,Jaccard Score,Log Loss,MCC
0.985,0.9829059829059829,0.9913793103448276,0.9871244635193133,0.9991789819376026,0.015,0.9745762711864406,0.07818293146189535,0.9692123940380459
0.98,0.9745762711864406,0.9913793103448276,0.9829059829059829,0.9982553366174056,0.02,0.9663865546218487,0.06765327614055897,0.9590172077120654
0.99,0.9913793103448276,0.9913793103448276,0.9913793103448276,0.9932779146141215,0.01,0.9829059829059829,0.2115733838385048,0.9794745484400657
0.98,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9987684729064039,0.02,0.9661016949152542,0.05343727463893236,0.9589490968801314
0.96,0.9736842105263158,0.9568965517241379,0.9652173913043478,0.9920977011494254,0.04,0.9327731092436975,0.12058028390984382,0.9183591448565754
0.98,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9989737274220033,0.02,0.9661016949152542,0.04400872811675072,0.9589490968801314
