Accuracy,Precision,Recall,F1 Score,AUC,Hamming Loss,Jaccard Score,Log Loss,MCC
0.98,0.9745762711864406,0.9913793103448276,0.9829059829059829,0.9982553366174056,0.02,0.9663865546218487,0.06857806626422241,0.9590172077120654
0.975,0.9911504424778761,0.9655172413793104,0.9781659388646288,0.9768062397372744,0.025,0.9572649572649573,0.9010913347279289,0.9493835784622352
0.985,0.9829059829059829,0.9913793103448276,0.9871244635193133,0.9989737274220033,0.015,0.9745762711864406,0.07721225563569957,0.9692123940380459
0.915,0.9230769230769231,0.9310344827586207,0.927038626609442,0.9735734811165846,0.085,0.864,0.4976898078851656,0.8252903160094859
0.97,0.9583333333333334,0.9913793103448276,0.9745762711864406,0.9977422003284073,0.03,0.9504132231404959,0.07006309165293,0.9388184033808383
0.98,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9988711001642036,0.02,0.9661016949152542,0.04060572758316994,0.9589490968801314
